epoch,train_loss,val_auc,val_auprc,val_acc,val_f1,challenge_score,epoch_time_sec,lr
1,0.368265,0.934306,0.722548,0.97691,0.695833,0.702041,1587.7,0.00029815
2,0.347785,0.913952,0.721603,0.98371,0.754177,0.693878,1520.4,0.00029266
3,0.349009,0.897983,0.624713,0.968844,0.332203,0.612245,1501.7,0.00028365
4,0.34304,0.915477,0.725421,0.984027,0.743003,0.681633,1567.3,0.00027135
5,0.337306,0.931649,0.748121,0.982445,0.748299,0.714286,1469.2,0.00025607
6,0.337121,0.933024,0.751786,0.985608,0.775309,0.710204,1549.1,0.00023817
7,0.33462,0.915593,0.73142,0.984659,0.758105,0.702041,1489.9,0.0002181
8,0.333224,0.938295,0.75751,0.985766,0.777228,0.710204,1569.5,0.00019635
9,0.332728,0.944799,0.767722,0.986083,0.790476,0.730612,1538.1,0.00017347
10,0.330605,0.930745,0.745613,0.986083,0.782178,0.702041,1497.4,0.00015
11,0.331021,0.936472,0.763549,0.985924,0.781327,0.718367,1510.2,0.00012653
12,0.32955,0.946814,0.774071,0.986557,0.793187,0.726531,1544.6,0.00010365
13,0.328896,0.943459,0.775096,0.986083,0.788462,0.734694,1472.8,8.19e-05
14,0.328638,0.943359,0.770814,0.985766,0.780488,0.722449,1808.1,6.183e-05
15,0.327973,0.943803,0.778112,0.986399,0.791262,0.738776,1620.3,4.393e-05
16,0.327288,0.944876,0.780008,0.986399,0.791262,0.742857,1489.8,2.865e-05
17,0.327056,0.941262,0.77708,0.986399,0.790244,0.734694,1529.5,1.635e-05
18,0.326977,0.94347,0.781353,0.986557,0.793187,0.746939,2356.6,7.34e-06
19,0.326732,0.942241,0.781827,0.986557,0.794189,0.75102,1983.8,1.85e-06
20,0.326664,0.942244,0.782044,0.986557,0.794189,0.746939,1572.3,0.0
